"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"IBG Order","IBG Order","workflow_state",1,0,0,"1e31672a75","Pending","IBG Finance","0","status","Pending",0,"","","ec997d5100","Pending","Approve","Approved by IBG Finance","IBG Finance",1,""
"","","","","","","7b54fc12a5","Approved by IBG Finance","Supply Chain","0","status","Approved by IBG Finance",0,"","","c243af2908","Pending","Reject","Rejected by IBG Finance","IBG Finance",1,""
"","","","","","","0b8e146230","Approved by Supply Chain","Supply Chain","1","status","Approved by Supply Chain",0,"","","80e550ee78","Pending","Hold","On Hold by IBG Finance","IBG Finance",1,""
"","","","","","","08b3e899d6","On Hold by IBG Finance","IBG Finance","0","status","On Hold by IBG Finance",0,"","","28f2fd530c","Approved by IBG Finance","Approve","Approved by Supply Chain","Supply Chain",1,""
"","","","","","","e4700685f6","Rejected by IBG Finance","Initiator","0","status","Rejected by IBG Finance",0,"","","42a2cb5053","On Hold by IBG Finance","Approve","Approved by IBG Finance","IBG Finance",1,""
"","","","","","","25b41fe7ab","Rejected by IBG Finance","IBG Finance","0","status","Rejected by IBG Finance",0,"","","7630ad2a59","On Hold by IBG Finance","Reject","Rejected by IBG Finance","IBG Finance",1,""
"","","","","","","","","","","","","","","","ff5067d8c6","Rejected by IBG Finance","Approve","Approved by IBG Finance","IBG Finance",1,""
"","","","","","","","","","","","","","","","19a0ed0083","Rejected by IBG Finance","Reject","Approved by IBG Finance","IBG Finance",1,""
"","","","","","","","","","","","","","","","f976e661a2","Rejected by IBG Finance","Hold","Approved by IBG Finance","IBG Finance",1,""
